Cambustion / University of Alberta,Tandem,v0.2,4/3/2024,14:41:17,Bypass scans:,FALSE,,
Classifier 1,Data points,Data length,Serial number,Sample flow (lpm),Resolution,Start (fg),End (fg),Per decade
CPMA,5,5,C813,0.3,2,0.05,500,1
Classifier 2,Data points,Data length,Sample flow (lpm),Sheath flow SP (lpm),Error status,Start (nm),End (nm),
3082 DMA,113,4,0.3,2.1,"0
",17.5,,
CPC,,,,,,,,
Dummy,,,,,,,,
Mp (fg),Speed (rad/s),Voltage (V),Pressure (Pa),Temperature (C),Dm (nm)2,Temperature (C)2,Pressure (kPa)2,Conc 
5,103.8947826,20.14576087,93458.47826,29.72717391,118,25.03115942,93.57282609,11.9
5,103.8947826,20.14576087,93458.47826,29.72717391,122,25.03115942,93.57282609,31.1
5,103.8947826,20.14576087,93458.47826,29.72717391,126,25.03115942,93.57282609,70.2
5,103.8947826,20.14576087,93458.47826,29.72717391,131,25.03115942,93.57282609,135
5,103.8947826,20.14576087,93458.47826,29.72717391,136,25.03115942,93.57282609,231
5,103.8947826,20.14576087,93458.47826,29.72717391,141,25.03115942,93.57282609,441
5,103.8947826,20.14576087,93458.47826,29.72717391,146,25.03115942,93.57282609,678
5,103.8947826,20.14576087,93458.47826,29.72717391,151,25.03115942,93.57282609,802
5,103.8947826,20.14576087,93458.47826,29.72717391,157,25.03115942,93.57282609,1.08E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,163,25.03115942,93.57282609,1.78E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,168,25.03115942,93.57282609,2.63E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,175,25.03115942,93.57282609,2.75E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,181,25.03115942,93.57282609,1.99E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,188,25.03115942,93.57282609,1.43E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,195,25.03115942,93.57282609,2.29E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,202,25.03115942,93.57282609,4.79E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,209,25.03115942,93.57282609,7.65E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,217,25.03115942,93.57282609,9.25E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,225,25.03115942,93.57282609,8.47E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,233,25.03115942,93.57282609,6.02E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,241,25.03115942,93.57282609,3.39E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,250,25.03115942,93.57282609,1.50E+03
5,103.8947826,20.14576087,93458.47826,29.72717391,259,25.03115942,93.57282609,460
5,103.8947826,20.14576087,93458.47826,29.72717391,269,25.03115942,93.57282609,123
5,103.8947826,20.14576087,93458.47826,29.72717391,279,25.03115942,93.57282609,32.9
5,103.8947826,20.14576087,93458.47826,29.72717391,289,25.03115942,93.57282609,13.7
5,103.8947826,20.14576087,93458.47826,29.72717391,300,25.03115942,93.57282609,7.25
5,103.8947826,20.14576087,93458.47826,29.72717391,311,25.03115942,93.57282609,4.87
5,103.8947826,20.14576087,93458.47826,29.72717391,322,25.03115942,93.57282609,3.28
5,103.8947826,20.14576087,93458.47826,29.72717391,334,25.03115942,93.57282609,2.48
5,103.8947826,20.14576087,93458.47826,29.72717391,346,25.03115942,93.57282609,2.5
50,56.12163043,57.72967391,93501.93478,28.3,181,24.8,93.6,2.17
50,56.12163043,57.72967391,93501.93478,28.3,188,24.8,93.6,4.38
50,56.12163043,57.72967391,93501.93478,28.3,195,24.8,93.6,7.42
50,56.12163043,57.72967391,93501.93478,28.3,202,24.8,93.6,9.29
50,56.12163043,57.72967391,93501.93478,28.3,209,24.8,93.6,16.3
50,56.12163043,57.72967391,93501.93478,28.3,217,24.8,93.6,22.8
50,56.12163043,57.72967391,93501.93478,28.3,225,24.8,93.6,29.2
50,56.12163043,57.72967391,93501.93478,28.3,233,24.8,93.6,52.3
50,56.12163043,57.72967391,93501.93478,28.3,241,24.8,93.6,66
50,56.12163043,57.72967391,93501.93478,28.3,250,24.8,93.6,74.3
50,56.12163043,57.72967391,93501.93478,28.3,259,24.8,93.6,108
50,56.12163043,57.72967391,93501.93478,28.3,269,24.8,93.6,167
50,56.12163043,57.72967391,93501.93478,28.3,279,24.8,93.6,215
50,56.12163043,57.72967391,93501.93478,28.3,289,24.8,93.6,187
50,56.12163043,57.72967391,93501.93478,28.3,300,24.8,93.6,189
50,56.12163043,57.72967391,93501.93478,28.3,311,24.8,93.6,302
50,56.12163043,57.72967391,93501.93478,28.3,322,24.8,93.6,513
50,56.12163043,57.72967391,93501.93478,28.3,334,24.8,93.6,583
50,56.12163043,57.72967391,93501.93478,28.3,346,24.8,93.6,483
50,56.12163043,57.72967391,93501.93478,28.3,359,24.8,93.6,266
50,56.12163043,57.72967391,93501.93478,28.3,372,24.8,93.6,144
50,56.12163043,57.72967391,93501.93478,28.3,385,24.8,93.6,244
50,56.12163043,57.72967391,93501.93478,28.3,400,24.8,93.6,617
50,56.12163043,57.72967391,93501.93478,28.3,414,24.8,93.6,1.20E+03
50,56.12163043,57.72967391,93501.93478,28.3,429,24.8,93.6,1.74E+03
50,56.12163043,57.72967391,93501.93478,28.3,445,24.8,93.6,2.06E+03
50,56.12163043,57.72967391,93501.93478,28.3,461,24.8,93.6,1.84E+03
50,56.12163043,57.72967391,93501.93478,28.3,478,24.8,93.6,1.31E+03
50,56.12163043,57.72967391,93501.93478,28.3,496,24.8,93.6,776
50,56.12163043,57.72967391,93501.93478,28.3,514,24.8,93.6,399
50,56.12163043,57.72967391,93501.93478,28.3,533,24.8,93.6,149
50,56.12163043,57.72967391,93501.93478,28.3,552,24.8,93.6,50.9
50,56.12163043,57.72967391,93501.93478,28.3,573,24.8,93.6,11
50,56.12163043,57.72967391,93501.93478,28.3,594,24.8,93.6,6.31
50,56.12163043,57.72967391,93501.93478,28.3,615,24.8,93.6,1.02
50,56.12163043,57.72967391,93501.93478,28.3,638,24.8,93.6,2.3
50,56.12163043,57.72967391,93501.93478,28.3,661,24.8,93.6,0
50,56.12163043,57.72967391,93501.93478,28.3,685,24.8,93.6,0.516
50,56.12163043,57.72967391,93501.93478,28.3,710,24.8,93.6,0.519
50,56.12163043,57.72967391,93501.93478,28.3,737,24.8,93.6,0.261
50,56.12163043,57.72967391,93501.93478,28.3,764,24.8,93.6,1.05
50,56.12163043,57.72967391,93501.93478,28.3,791,24.8,93.6,0
50,56.12163043,57.72967391,93501.93478,28.3,820,24.8,93.6,0.529
500,28.07648352,143.5115385,93498.28571,28.4,359,24.8,93.6,6.52
500,28.07648352,143.5115385,93498.28571,28.4,372,24.8,93.6,1.71
500,28.07648352,143.5115385,93498.28571,28.4,385,24.8,93.6,2.44
500,28.07648352,143.5115385,93498.28571,28.4,400,24.8,93.6,2.32
500,28.07648352,143.5115385,93498.28571,28.4,414,24.8,93.6,2.34
500,28.07648352,143.5115385,93498.28571,28.4,429,24.8,93.6,3.38
500,28.07648352,143.5115385,93498.28571,28.4,445,24.8,93.6,2.96
500,28.07648352,143.5115385,93498.28571,28.4,461,24.8,93.6,3.58
500,28.07648352,143.5115385,93498.28571,28.4,478,24.8,93.6,5.71
500,28.07648352,143.5115385,93498.28571,28.4,496,24.8,93.6,6.95
500,28.07648352,143.5115385,93498.28571,28.4,514,24.8,93.6,7.61
500,28.07648352,143.5115385,93498.28571,28.4,533,24.8,93.6,10.3
500,28.07648352,143.5115385,93498.28571,28.4,552,24.8,93.6,9.25
500,28.07648352,143.5115385,93498.28571,28.4,573,24.8,93.6,6.66
500,28.07648352,143.5115385,93498.28571,28.4,594,24.8,93.6,7.17
500,28.07648352,143.5115385,93498.28571,28.4,615,24.8,93.6,15.1
500,28.07648352,143.5115385,93498.28571,28.4,638,24.8,93.6,29.8
500,28.07648352,143.5115385,93498.28571,28.4,661,24.8,93.6,40.3
500,28.07648352,143.5115385,93498.28571,28.4,685,24.8,93.6,30.9
500,28.07648352,143.5115385,93498.28571,28.4,710,24.8,93.6,20.2
500,28.07648352,143.5115385,93498.28571,28.4,737,24.8,93.6,8.05
500,28.07648352,143.5115385,93498.28571,28.4,764,24.8,93.6,4.21
500,28.07648352,143.5115385,93498.28571,28.4,791,24.8,93.6,6.34
500,28.07648352,143.5115385,93498.28571,28.4,820,24.8,93.6,27.1
500,28.07648352,143.5115385,93498.28571,28.4,851,24.8,93.6,62.6
500,28.07648352,143.5115385,93498.28571,28.4,882,24.8,93.6,110
500,28.07648352,143.5115385,93498.28571,28.4,914,24.8,93.6,157
500,28.07648352,143.5115385,93498.28571,28.4,947,24.8,93.6,170
500,28.07648352,143.5115385,93498.28571,28.4,982,24.8,93.6,158
